TIME	U1cal
0.531	6.680
0.531	6.968
0.532	7.063
0.532	7.046
0.533	7.081
0.533	7.028
0.534	6.907
0.534	7.028
0.535	6.993
0.535	7.790
0.536	6.420
0.536	7.258
0.537	6.985
0.537	7.187
0.538	7.002
0.538	7.151
0.539	7.046
0.539	6.630
0.539	7.450
0.540	7.019
0.541	6.460
0.541	7.204
0.542	7.331
0.542	6.993
0.543	7.160
0.543	6.968
0.544	7.028
0.544	6.839
0.545	7.222
0.545	6.696
0.546	7.028
0.546	7.169
0.547	6.839
0.547	7.028
0.548	7.404
0.548	7.089
0.549	7.037
0.549	7.160
0.550	7.037
0.550	7.063
0.551	7.098
0.551	7.313
0.552	6.985
0.552	7.072
0.553	7.063
0.553	6.993
0.553	7.081
0.554	7.037
0.555	7.002
0.555	7.002
0.556	7.011
0.556	7.838
0.557	7.019
0.557	6.388
0.558	7.037
0.558	7.561
0.559	7.313
0.559	7.151
0.560	7.887
0.560	7.063
0.561	6.839
0.561	7.151
0.562	7.496
0.562	6.968
0.563	6.968
0.563	6.993
0.564	7.002
0.564	7.011
0.565	6.839
0.565	7.046
0.566	7.505
0.566	6.713
0.567	7.019
0.567	6.959
0.568	7.125
0.568	6.933
0.569	7.063
0.569	7.028
0.570	6.797
0.570	6.721
0.571	6.755
0.571	7.098
0.572	7.178
0.572	7.037
0.573	7.204
0.573	7.011
0.574	7.002
0.574	6.976
0.575	7.125
0.575	6.882
0.576	7.019
0.576	7.231
0.576	7.107
0.577	7.142
0.578	7.019
0.578	7.054
0.579	7.169
0.579	6.993
0.580	6.696
0.580	6.985
0.581	7.204
0.581	7.046
0.582	6.907
0.582	6.985
0.583	7.116
0.583	6.985
0.584	6.428
0.584	7.169
0.585	7.002
0.585	6.933
0.586	7.089
0.586	6.976
0.587	7.028
0.587	7.072
0.588	7.019
0.588	6.933
0.589	6.916
0.589	7.046
0.590	7.046
0.590	7.072
0.591	7.072
0.591	7.063
0.592	6.950
0.592	7.098
0.593	7.142
0.593	6.797
0.594	7.028
0.594	7.313
0.595	6.573
0.595	7.046
0.596	7.195
0.596	7.151
0.597	7.011
0.597	7.440
0.598	7.459
0.598	6.968
0.599	7.222
0.599	6.848
0.600	7.231
0.600	7.054
0.601	6.565
0.601	6.856
0.602	7.125
0.602	7.072
0.603	7.054
0.603	6.942
0.604	6.680
0.604	7.063
0.605	6.822
0.605	7.258
0.606	6.614
0.606	7.028
0.607	7.002
0.607	6.524
0.608	7.187
0.608	7.276
0.609	7.037
0.609	6.524
0.610	7.722
0.610	6.942
0.611	7.089
0.611	7.125
0.612	7.107
0.612	7.063
0.613	7.213
0.613	6.215
0.614	6.713
0.614	6.805
0.615	7.019
0.615	7.116
0.616	6.856
0.616	6.262
0.617	7.187
0.617	7.142
0.618	7.011
0.618	7.019
0.619	8.116
0.619	7.646
0.620	7.169
0.620	6.959
0.621	6.822
0.621	6.865
0.622	7.231
0.622	7.142
0.623	7.081
0.623	6.985
0.624	7.028
0.624	7.098
0.625	7.098
0.625	7.081
0.626	7.054
0.626	6.831
0.627	6.950
0.627	7.125
0.628	7.790
0.628	6.942
0.629	7.561
0.629	7.089
0.630	7.011
0.630	7.072
0.631	7.222
0.631	7.125
0.632	6.805
0.632	7.098
0.633	6.831
0.633	7.313
0.634	6.848
0.634	6.805
0.635	7.608
0.635	7.011
0.636	7.002
0.636	7.195
0.637	7.829
0.637	6.959
0.638	6.890
0.638	7.089
0.639	7.249
0.639	7.002
0.640	7.072
0.640	6.856
0.641	7.195
0.641	6.614
0.642	7.054
0.642	7.072
0.643	7.054
0.643	6.959
0.644	6.942
0.644	6.873
0.645	7.028
0.645	6.805
0.646	7.098
0.646	7.054
0.647	7.294
0.647	7.054
0.648	7.151
0.648	6.713
0.649	7.002
0.649	6.993
0.650	7.081
0.650	6.468
0.651	7.072
0.651	7.098
0.652	6.907
0.652	7.002
0.653	6.882
0.653	7.413
0.654	7.081
0.654	7.258
0.655	7.294
0.655	7.151
0.656	7.151
0.656	6.516
0.657	7.089
0.657	7.125
0.658	7.258
0.658	7.413
0.659	6.907
0.659	7.107
0.660	7.072
0.660	7.098
0.661	7.213
0.661	7.046
0.662	7.267
0.662	7.107
0.663	7.046
0.663	7.081
0.664	7.204
0.664	7.160
0.665	6.916
0.665	7.046
0.666	6.882
0.666	6.630
0.667	7.195
0.667	7.160
0.668	6.942
0.668	6.597
0.669	7.703
0.669	7.249
0.670	7.081
0.670	7.098
0.671	7.098
0.671	7.178
0.672	7.028
0.672	7.011
0.673	6.968
0.673	7.160
0.674	7.002
0.674	6.907
0.675	7.116
0.675	7.231
0.676	7.267
0.676	6.873
0.677	7.046
0.677	7.907
0.678	6.968
0.678	7.321
0.679	7.160
0.679	7.037
0.680	7.019
0.680	7.703
0.681	7.011
0.681	6.865
0.682	7.222
0.682	7.089
0.683	7.046
0.683	7.063
0.684	7.151
0.684	6.899
0.685	6.899
0.685	7.046
0.686	7.098
0.686	7.151
0.687	7.037
0.687	6.839
0.688	6.597
0.688	6.985
0.689	7.063
0.689	7.054
0.690	7.178
0.690	7.028
0.691	7.046
0.691	6.985
0.692	7.089
0.692	7.098
0.693	7.002
0.693	7.178
0.694	7.169
0.694	7.019
0.695	7.011
0.695	7.125
0.696	7.046
0.696	6.950
0.697	7.089
0.697	5.672
0.698	7.926
0.698	7.331
0.699	6.839
0.699	7.125
0.700	7.195
0.700	7.637
0.701	7.151
0.701	6.839
0.702	6.985
0.702	7.125
0.703	7.028
0.703	6.831
0.704	7.404
0.704	6.993
0.705	7.063
0.705	6.814
0.706	7.276
0.706	7.089
0.707	7.151
0.707	7.656
0.708	6.993
0.708	7.213
0.709	7.169
0.709	7.204
0.710	7.072
0.710	6.797
0.711	6.822
0.711	6.993
0.712	7.054
0.712	7.028
0.713	6.968
0.713	6.301
0.714	7.028
0.714	7.829
0.715	7.107
0.715	6.763
0.716	7.019
0.716	7.072
0.717	6.755
0.717	6.476
0.718	7.543
0.718	7.249
0.719	6.933
0.719	7.037
0.720	7.002
0.720	7.231
0.721	6.831
0.721	7.917
0.722	6.890
0.722	7.046
0.723	7.072
0.723	7.487
0.724	7.431
0.724	6.882
0.725	6.688
0.725	7.089
0.726	6.985
0.726	7.098
0.727	7.037
0.727	7.222
0.728	6.985
0.728	7.385
0.729	6.942
0.729	7.204
0.730	7.011
0.730	7.258
0.731	6.831
0.731	7.019
0.732	7.028
0.732	7.089
0.733	6.865
0.733	6.933
0.734	7.358
0.734	7.160
0.735	7.019
0.735	6.672
0.736	6.638
0.736	6.696
0.737	7.142
0.737	6.468
0.738	7.187
0.738	6.985
0.739	6.873
0.739	6.959
0.740	7.151
0.740	7.477
0.741	6.396
0.741	7.770
0.742	7.046
0.742	7.072
0.743	6.993
0.743	7.459
0.744	7.019
0.744	6.516
0.745	7.599
0.745	6.950
0.746	6.581
0.746	7.054
0.747	6.993
0.747	6.565
0.748	7.107
0.748	6.890
0.749	7.459
0.749	7.098
0.750	7.002
0.750	6.831
0.751	7.505
0.751	7.231
0.752	7.125
0.752	7.054
0.753	7.107
0.753	6.460
0.754	7.294
0.754	7.054
0.755	7.151
0.755	7.231
0.756	7.422
0.756	6.814
0.757	6.663
0.757	7.089
0.758	7.231
0.758	7.450
0.759	6.985
0.759	6.468
0.760	7.037
0.760	7.450
0.761	7.431
0.761	6.721
0.762	7.665
0.762	7.019
0.763	7.107
0.763	7.019
0.764	7.524
0.764	7.809
0.765	6.950
0.765	7.037
0.766	7.231
0.766	6.882
0.767	7.276
0.767	7.081
0.768	7.081
0.768	7.656
0.769	7.089
0.769	7.116
0.770	7.204
0.770	7.063
0.771	7.089
0.771	7.459
0.772	6.882
0.772	7.571
0.773	6.663
0.773	7.169
0.774	6.882
0.774	6.317
0.775	7.089
0.775	7.107
0.776	7.178
0.776	8.095
0.777	7.213
0.777	6.890
0.778	7.533
0.778	7.116
0.779	7.321
0.779	8.424
0.780	7.358
0.780	7.404
0.781	7.376
0.781	7.204
0.782	7.413
0.782	7.125
0.783	7.089
0.783	7.431
0.784	7.790
0.784	7.675
0.785	7.054
0.785	7.722
0.786	7.151
0.786	7.089
0.787	7.496
0.787	7.204
0.788	7.459
0.788	6.899
0.789	7.151
0.789	7.116
0.790	7.240
0.790	7.431
0.791	7.331
0.791	7.037
0.792	6.993
0.792	7.107
0.793	6.890
0.793	6.933
0.794	7.125
0.794	6.959
0.795	7.089
0.795	6.647
0.796	6.856
0.796	7.072
0.797	7.956
0.797	6.959
0.798	7.276
0.798	7.098
0.799	6.549
0.799	7.098
0.800	7.249
0.800	7.107
0.801	7.151
0.801	7.046
0.802	7.054
0.802	7.125
0.803	7.019
0.803	6.985
0.804	7.098
0.804	7.505
0.805	7.142
0.805	7.089
0.806	7.037
0.806	7.125
0.807	7.002
0.807	6.589
0.808	7.142
0.808	7.019
0.809	7.204
0.809	6.738
0.810	6.540
0.810	6.763
0.811	6.882
0.811	7.142
0.812	7.054
0.812	7.072
0.813	7.142
0.813	9.010
0.814	7.169
0.814	7.178
0.815	7.037
0.815	6.805
0.816	7.125
0.816	7.732
0.817	7.258
0.817	7.222
0.818	7.877
0.818	7.404
0.819	7.098
0.819	7.046
0.820	7.011
0.820	7.063
0.821	7.204
0.821	7.089
0.822	6.976
0.822	7.160
0.823	7.019
0.823	6.907
0.824	6.950
0.824	6.890
0.825	7.054
0.825	7.125
0.826	7.222
0.826	7.011
0.827	7.011
0.827	7.019
0.828	7.195
0.828	7.204
0.829	7.125
0.829	6.805
0.830	7.151
0.830	7.063
0.831	7.646
0.831	7.028
0.832	7.046
0.832	7.054
0.833	7.107
0.833	7.072
0.834	7.178
0.834	7.321
0.835	7.240
0.835	6.565
0.836	7.037
0.836	6.696
0.837	7.011
0.837	7.063
0.838	6.565
0.838	7.019
0.839	6.780
0.839	7.098
0.840	7.231
0.840	7.413
0.841	7.116
0.841	6.907
0.842	7.019
0.842	7.125
0.843	7.125
0.843	7.002
0.844	7.002
0.844	7.222
0.845	7.072
0.845	7.169
0.846	7.722
0.846	7.222
0.847	7.151
0.847	7.413
0.848	7.125
0.848	7.533
0.849	7.081
0.849	6.713
0.850	7.046
0.850	7.125
0.851	7.169
0.851	6.581
0.852	6.933
0.852	7.178
0.853	7.204
0.853	6.557
0.854	7.019
0.854	6.372
0.855	7.081
0.855	7.285
0.856	7.431
0.856	6.622
0.857	7.195
0.857	6.688
0.858	7.011
0.858	7.608
0.859	7.627
0.859	6.822
0.860	7.160
0.860	7.160
0.861	7.116
0.861	7.809
0.862	7.054
0.862	7.063
0.863	7.098
0.863	6.738
0.864	7.422
0.864	7.089
0.865	7.125
0.865	7.054
0.866	6.968
0.866	7.385
0.867	7.187
0.867	6.672
0.868	7.028
0.868	7.125
0.869	7.081
0.869	7.072
0.870	6.755
0.870	7.081
0.871	7.116
0.871	7.178
0.872	7.151
0.872	7.142
